contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,9,15,16,17,18,20,22,23,24,25,29,56,60,63,72,73,75,76,77,78,80,81,82,84,85,86,87,100,101,102,103,108,113,136,138,146,147,153,154,214,215,230,231,233,275,280,281,282,321,322,323,324,326,327,328,338,353,374,375,390,395,396,458,472,64,65,74,89,160,314,391,468,26,62,121,133,19,120,276,83,79,114,61,362,67,68,254,469,300,473,139,273,216,217,137,70,21
a9vw7ikerpr4cuweeeka5aneg,Horsens,2596676115,302,13,1,29,51,E. Just,b9g3gwxlao9u6y4elz1sdukmh,1,86.4,32.5,2023-09-29T17:31:18.267,2023-10-02T12:29:51,1.0,"{""id"": 4543679465, ""qualifierId"": 22}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,NaN,NaN,NaN,true,NaN,,NaN,true,Center,,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,42.2,11.1,NaN,,,,NaN,NaN,NaN,NaN,NaN,true,96.2,44.6,NaN,,,,,0.04859061911702156,NaN,,,2,2,NaN,,,,,,,,NaN,,NaN,,NaN,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2596685021,433,13,1,44,40,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,86.8,43.9,2023-09-29T17:46:07.396,2023-10-02T13:30:50,1.0,"{""id"": 4543727857, ""qualifierId"": 25}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,true,NaN,true,NaN,NaN,,true,true,Center,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,61.3,6.9,NaN,,,,91.7,49.5,true,true,NaN,NaN,98.4,46.8,NaN,,,,,0.11189169436693192,NaN,,,1,3,true,,,,,,,,NaN,,NaN,,NaN,NaN,,,true,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2596685411,441,13,1,45,22,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,92.2,63.5,2023-09-29T17:46:49.600,2023-10-02T13:30:49,1.0,"{""id"": 4543729025, ""qualifierId"": 64}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,NaN,NaN,true,NaN,NaN,,true,true,Center,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,40.2,13.9,true,,,,NaN,NaN,NaN,true,NaN,NaN,98.8,53.8,NaN,,,,,0.07051631063222885,NaN,,,3,1,true,,,,,,,,NaN,,true,,NaN,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2596682113,444,13,1,40,14,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,79.9,36.9,2023-09-29T17:41:41.597,2023-10-02T12:29:46,1.0,"{""id"": 4543712117, ""qualifierId"": 230, ""value"": ""98.8""}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,NaN,true,true,true,NaN,,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,52.3,68.1,NaN,,,,NaN,NaN,NaN,NaN,NaN,true,98.8,48.4,NaN,,,,,0.05972191318869591,NaN,,,1,2,NaN,,,,,,,,NaN,,NaN,,true,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2596694885,457,15,2,46,35,J. Ankersen,4mxciw9jsj9l437fd7bv78p91,1,88.6,49.3,2023-09-29T18:03:32.779,2023-09-29T18:05:52,1.0,"{""id"": 4543781631, ""qualifierId"": 102, ""value"": ""50.7""}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,true,NaN,true,true,NaN,,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,50.7,5.7,NaN,,,,92.8,49.3,NaN,true,true,NaN,NaN,NaN,508,,,,,0.5731148719787598,0.4691,,,2,1,NaN,,,,,,,,NaN,,NaN,,NaN,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2596693845,501,15,2,45,21,A. Alicino,7l7f98nn8gohmdacsdb2labkk,1,74.6,47.0,2023-09-29T18:02:18.944,2023-10-02T13:30:27,1.0,"{""id"": 4543772837, ""qualifierId"": 322, ""value"": ""0.3715""}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,NaN,true,true,true,NaN,,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,45.8,20.3,NaN,,,,97.8,48.9,NaN,NaN,NaN,true,NaN,NaN,449,,,,,0.026703588664531708,0.3715,,,2,2,NaN,,,,,,,,NaN,,NaN,,NaN,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2596694447,505,13,2,46,1,G. Arndal-Lauritzen,5i6n6yne6fh410vk7p7kkokmi,1,90.9,50.1,2023-09-29T18:02:59.615,2023-09-29T18:04:15,1.0,"{""id"": 4543774995, ""qualifierId"": 326, ""value"": ""3""}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,true,,true,NaN,NaN,NaN,NaN,,true,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,51.9,63.9,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,99.0,50,NaN,,,,,0.05053088068962097,NaN,,,3,2,true,,,,,,,,NaN,,NaN,,true,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2596704505,542,13,2,56,56,M. Larsen,dsfbfzwy3c06mu50ee89qrbsa,1,81.3,39.0,2023-09-29T18:13:54.648,2023-10-02T13:30:34,1.0,"{""id"": 4543830461, ""qualifierId"": 231, ""value"": ""47.1""}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,NaN,true,true,true,NaN,,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,42.0,33.3,NaN,,,,NaN,NaN,NaN,true,NaN,true,98.4,47.1,NaN,,,,,0.036589689552783966,NaN,,,3,2,true,,,,,,,,NaN,,NaN,,NaN,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2596700103,554,13,2,52,15,M. Bay,bop31qof3lon7u6rvmb68ktzp,1,73.0,56.0,2023-09-29T18:09:13.595,2023-09-29T18:10:27,NaN,"{""id"": 4543806019, ""qualifierId"": 231, ""value"": ""49.6""}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,NaN,,NaN,true,true,NaN,NaN,,NaN,NaN,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,54.6,73.6,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,98.8,49.6,NaN,,,,,0.039314154535532,NaN,,,1,3,NaN,,,,,,,,true,,NaN,,true,NaN,,,NaN,,true,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2596700655,560,14,2,52,52,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,90.4,41.0,2023-09-29T18:09:49.819,2023-10-02T13:30:35,1.0,"{""id"": 4543808881, ""qualifierId"": 29}",9qgeraixdqn9wr7ejkqx88e8k,Hillerød vs Horsens,2023-09-29,,true,,true,NaN,NaN,true,NaN,,NaN,true,Center,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,44.5,16.5,NaN,,,,NaN,NaN,NaN,true,true,NaN,98.1,48.7,NaN,,,,,0.06886322796344757,NaN,,,1,1,true,,,,,,,,NaN,,NaN,,NaN,NaN,,,NaN,,NaN,,NaN,NaN,,NaN,,NaN,NaN,,,,,,,,,,,,,,NaN,,
