contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,19,20,22,23,24,25,26,29,56,60,63,64,72,73,74,75,76,78,79,80,81,82,84,102,103,108,133,146,147,154,214,215,230,231,233,321,322,326,327,328,362,374,375,391,395,396,458,9,62,100,153,160,280,281,282,324,353,390,472,473,21,77,120,323,338,83,89,114,138,254,273,61,66,68,101,121,136,139,314,468,469,28,85,300,275,274,189,192,65,87,69,122,113,216,217,86,67
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570253033,269,15,1,33,44,C. Kudsk,eja5wel1vk3bq6nf416b4ajft,1,74.2,44.5,2023-07-24T15:35:48.923,2023-07-25T23:19:50,NaN,"{""id"": 4400739287, ""qualifierId"": 133}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,46.5,7.0,NaN,true,98.0,50.2,NaN,NaN,true,NaN,NaN,303,0.0305,0.1943,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570252775,298,16,1,32,6,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,73.9,56.7,2023-07-24T15:34:10.523,2023-07-25T23:17:33,NaN,"{""id"": 4400737811, ""qualifierId"": 18}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,47.1,19.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.4,50.9,NaN,0.0603,0.2128,1,3,NaN,NaN,2023-07-24 16:34:08.856,32:04.715,NaN,98.1,48.4,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570258673,457,16,2,53,59,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,92.9,47.6,2023-07-24T16:28:19.327,2023-07-25T22:07:32,1.0,"{""id"": 4400768537, ""qualifierId"": 29}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,46.4,17.1,NaN,NaN,NaN,NaN,true,NaN,NaN,98.9,50,NaN,0.0924,0.279,3,2,true,NaN,2023-07-24 17:28:18.869,53:59.443,NaN,98.9,47.8,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570258597,473,15,2,51,38,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,86.9,66.6,2023-07-24T16:25:57.461,2023-07-25T22:01:22,1.0,"{""id"": 4400767993, ""qualifierId"": 326, ""value"": ""2""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,54.2,2.5,NaN,NaN,98.2,51.4,true,NaN,NaN,NaN,NaN,434,0.0973,0.3573,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570258803,519,13,2,56,54,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,86.2,32.2,2023-07-24T16:31:13.541,2023-07-25T22:16:08,1.0,"{""id"": 4400769905, ""qualifierId"": 102, ""value"": ""54.8""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.8,86.1,NaN,NaN,NaN,NaN,true,NaN,NaN,97.6,48.6,NaN,0.0517,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570259365,557,14,2,63,22,J. Kiilerich,c1kv9ybtguhs625d1vwlwa6ay,1,92.8,51.0,2023-07-24T16:37:42.860,2023-07-25T22:26:25,1.0,"{""id"": 4400772339, ""qualifierId"": 22}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.1,39.2,NaN,NaN,NaN,NaN,true,NaN,NaN,99.1,51.1,NaN,0.0937,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570259421,560,15,2,64,6,T. Sommer,5jdkdvxssuc8gvzwwrq5bs76y,1,83.6,45.0,2023-07-24T16:38:25.573,2023-07-25T22:26:55,1.0,"{""id"": 4402683517, ""qualifierId"": 17}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,52.4,19,NaN,NaN,92.7,49.1,true,NaN,NaN,99.1,50.4,566,0.0382,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570259555,575,13,2,65,1,M. Opondo,4m3slt6iikaxklqd12i719rl5,1,83.5,50.5,2023-07-24T16:39:21.251,2023-07-25T22:28:57,NaN,"{""id"": 4402684707, ""qualifierId"": 17}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.6,6.9,true,NaN,NaN,NaN,NaN,NaN,true,96.7,51.6,NaN,0.0524,NaN,1,3,true,NaN,NaN,NaN,true,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570260287,617,13,2,70,35,F. Heiselberg,3bxz0cn0chwqvs1114ectrrsa,1,75.9,34.0,2023-07-24T16:44:55.297,2023-07-25T22:36:10,NaN,"{""id"": 4402689263, ""qualifierId"": 74}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.1,77.8,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,48.4,NaN,0.0299,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570260471,646,15,2,72,24,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,79.8,62.9,2023-07-24T16:46:44.207,2023-07-25T22:39:44,1.0,"{""id"": 4400778767, ""qualifierId"": 322, ""value"": ""0.0839""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,52.8,11.4,NaN,NaN,96.7,51.3,NaN,NaN,true,NaN,NaN,635,0.0369,0.0839,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
