contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656221015,880,13,2,95,1,A. Njai,f1ba9g771s0zeel0titcj3omi,1,78.7,33.4,2024-03-08T19:54:30.832,2024-03-08T19:55:44,1.0,"{""id"": 4861420505, ""qualifierId"": 321, ""value"": ""0.02374809794127941""}",4861420505,321,0.02374809794127941,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586176207,19,15,1,1,34,O. Drost,1n4t6k5k2on5iihoc59brxi3t,1,91.9,31.0,2023-09-03T12:02:40.777,2023-09-03T13:07:07,1.0,"{""id"": 4487464891, ""qualifierId"": 321, ""value"": ""0.03548484668135643""}",4487464891,321,0.03548484668135643,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586188329,154,15,1,14,45,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,90.9,50.1,2023-09-03T12:15:51.345,2023-09-03T14:21:05,1.0,"{""id"": 4487529001, ""qualifierId"": 321, ""value"": ""0.09923018515110016""}",4487529001,321,0.09923018515110016,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586190329,168,15,1,17,7,V. Rasmussen,dwuxps3jv2852642q000wep6,1,84.8,68.6,2023-09-03T12:18:13.518,2023-09-05T17:29:36,1.0,"{""id"": 4487532999, ""qualifierId"": 321, ""value"": ""0.03449275344610214""}",4487532999,321,0.03449275344610214,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586200479,329,16,1,33,27,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,95.2,47.0,2023-09-03T12:34:33.847,2023-09-03T12:36:25,1.0,"{""id"": 4487592327, ""qualifierId"": 321, ""value"": ""0.5016998648643494""}",4487592327,321,0.5016998648643494,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Goal,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586207775,392,15,1,41,14,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,86.6,37.1,2023-09-03T12:42:21.105,2023-09-03T12:43:33,1.0,"{""id"": 4487629529, ""qualifierId"": 321, ""value"": ""0.06855177134275436""}",4487629529,321,0.06855177134275436,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586235697,485,14,2,47,0,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,82.6,47.9,2023-09-03T13:08:58.258,2023-09-05T10:30:05,NaN,"{""id"": 4487774707, ""qualifierId"": 321, ""value"": ""0.1265624314546585""}",4487774707,321,0.1265624314546585,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Post,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586235787,486,16,2,47,3,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,85.0,45.8,2023-09-03T13:09:01.338,2023-09-05T10:30:04,NaN,"{""id"": 4487772773, ""qualifierId"": 321, ""value"": ""0.07627638429403305""}",4487772773,321,0.07627638429403305,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Goal,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586243087,534,13,2,52,23,M. Freundlich,cuufy3ioo1kio56er2cfn0mqc,1,71.7,76.3,2023-09-03T13:14:21.510,2023-09-05T11:30:47,NaN,"{""id"": 4487856203, ""qualifierId"": 321, ""value"": ""0.014625589363276958""}",4487856203,321,0.014625589363276958,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586261123,582,15,2,65,56,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,86.9,50.1,2023-09-03T13:27:54.224,2023-09-05T11:30:48,1.0,"{""id"": 4487913577, ""qualifierId"": 321, ""value"": ""0.02503952570259571""}",4487913577,321,0.02503952570259571,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
