contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,20,21,22,24,25,26,29,56,60,61,62,63,72,73,74,75,76,77,78,79,80,82,83,87,89,102,103,108,120,122,146,147,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,374,375,395,396,458,468,472,16,19,23,64,67,81,85,100,101,133,139,153,391,362,65,84,114,121,137,138,216,217,274,300,113,273,9,86,353,390,68,136,469,28,473,69,276,254,66,192,314,275
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2666678473,308,15,1,34,27,V. Mpindi,78iynnu6cnznv6fxpo4br4mlm,1,85.3,46.9,2024-04-02T17:06:12.548,2024-04-02T17:08:55,NaN,"{""id"": 4917742143, ""qualifierId"": 22}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,true,NaN,true,NaN,true,NaN,NaN,,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,48.5,3.8,true,,,98.2,48.4,NaN,NaN,NaN,NaN,NaN,NaN,350,,,,0.07351560145616531,0.071,NaN,NaN,2,2,true,NaN,NaN,NaN,,,true,,,,,NaN,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666677059,318,14,1,29,31,S. Berger,8ngloyr6r0m71p8kgpfe69bvu,1,82.4,63.2,2024-04-02T17:01:16.776,2024-04-02T17:05:32,1.0,"{""id"": 4917737985, ""qualifierId"": 231, ""value"": ""51.6""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,NaN,true,true,NaN,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.3,4.4,NaN,,,NaN,NaN,NaN,NaN,NaN,true,99.1,51.6,268,,,,0.08621513098478317,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666679121,378,13,1,36,41,C. Gammelgaard,1hbucfyn2l3bxcw5r4zcb1dlg,1,87.8,58.1,2024-04-02T17:08:26.856,2024-04-02T17:09:40,1.0,"{""id"": 4917745925, ""qualifierId"": 17}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,true,NaN,NaN,NaN,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,57.5,29.2,NaN,,,NaN,NaN,true,NaN,NaN,NaN,99.3,51.4,NaN,,,,0.1626889854669571,NaN,NaN,NaN,1,2,true,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666680851,424,13,1,42,42,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,78.1,69.9,2024-04-02T17:14:27.366,2024-04-02T17:15:40,1.0,"{""id"": 4917756479, ""qualifierId"": 215}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,NaN,true,true,NaN,NaN,true,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2,69.4,NaN,,,NaN,NaN,NaN,NaN,NaN,true,98.6,51.3,NaN,,,,0.02279839664697647,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,true,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2666688889,435,13,2,48,32,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,95.7,35.8,2024-04-02T17:38:49.155,2024-04-02T18:25:08,1.0,"{""id"": 4917804751, ""qualifierId"": 56, ""value"": ""Center""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,true,NaN,NaN,NaN,NaN,NaN,NaN,true,,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.7,9.7,NaN,,,NaN,NaN,true,NaN,NaN,NaN,99.1,44.4,NaN,,,,0.025160999968647957,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666681329,445,13,1,43,55,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,85.7,37.4,2024-04-02T17:15:40.844,2024-04-02T17:16:54,1.0,"{""id"": 4917759037, ""qualifierId"": 321, ""value"": ""0.03117055632174015""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,true,NaN,true,NaN,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.4,56.9,NaN,,,NaN,NaN,true,NaN,NaN,NaN,99.1,49.5,NaN,,,,0.03117055632174015,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,NaN,true,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666687311,475,13,2,45,40,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,90.2,72.6,2024-04-02T17:35:56.562,2024-04-02T17:39:10,1.0,"{""id"": 4917796231, ""qualifierId"": 230, ""value"": ""98.8""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,NaN,NaN,true,NaN,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.3,23.6,NaN,,,NaN,NaN,NaN,NaN,NaN,true,98.8,53.6,NaN,,,,0.036477360874414444,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,,,NaN,,,,,NaN,true,,NaN,NaN,,,,,NaN,NaN,,,true,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666689595,499,16,2,49,54,E. Dall,91xtn2wlot8g8ue89zn4iiyqy,1,82.5,50.8,2024-04-02T17:40:11.390,2024-04-02T17:41:57,1.0,"{""id"": 4917811765, ""qualifierId"": 322, ""value"": ""0.8518""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,NaN,true,true,NaN,NaN,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,47.6,3.2,NaN,,,NaN,NaN,NaN,NaN,true,true,93.7,51.3,NaN,,,,0.3357639014720917,0.8518,NaN,true,1,1,NaN,NaN,2024-04-02 18:40:09.936,49:53.402,,,NaN,,,,,true,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,true,,,,,,true,,,,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2666692867,533,15,2,55,46,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,86.8,59.1,2024-04-02T17:46:03.179,2024-04-02T17:48:01,1.0,"{""id"": 4917830203, ""qualifierId"": 103, ""value"": ""16.5""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,NaN,true,NaN,true,NaN,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.9,16.5,NaN,,,90.1,56.7,NaN,NaN,true,true,NaN,NaN,507,,,,0.2307717353105545,0.4034,NaN,true,3,1,NaN,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2666694825,539,15,2,59,30,T. Hartzell,alvc454edslfjld3g3wcn7yp6,1,91.2,52.3,2024-04-02T17:49:47.233,2024-04-02T17:53:03,1.0,"{""id"": 4917838357, ""qualifierId"": 146, ""value"": ""99.0""}",d05lcjlumimdsr9q2qp8tmyok,Fredericia vs Vendsyssel,2024-04-02,true,true,NaN,NaN,NaN,NaN,NaN,true,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,50.3,19.0,NaN,,,99.0,50.0,true,NaN,NaN,NaN,NaN,NaN,554,,,,0.054272301495075226,0.0277,NaN,NaN,3,2,true,NaN,NaN,NaN,,,NaN,,,,,NaN,NaN,,NaN,NaN,,,,,NaN,NaN,,,NaN,NaN,,,NaN,,,,,,,,,,,,NaN,,,,,,NaN,,,,NaN
