player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date
J. Posavec,5sh5t0j4c7wfs2j4tv4jdg7v9,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Goalkeeper,Centre,NaN,11,NaN,2,NaN,13,4,NaN,2,19,17,90,19,NaN,10,10,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
J. Ahlmann,bmz2yqayufuyy33p3drvtjgt1,36g6ifzjliec1jqnbtf7yesme,3,1,Defender,Left,NaN,33,2,5,1,18,2,2,18,40,22,61,16,4,6,23,6,8,NaN,NaN,NaN,4,1,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
R. Thelander,cw6s5hf1tytvb98vjuosz9r6d,36g6ifzjliec1jqnbtf7yesme,2,2,Defender,Left/Centre,NaN,65,NaN,6,NaN,49,1,NaN,19,76,52,90,34,10,3,27,5,10,1,6,1,2,1,NaN,1,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
L. Kramer,7yst1mucy7jynmpzu1thox2i,36g6ifzjliec1jqnbtf7yesme,2,2,Defender,Centre/Right,NaN,63,NaN,9,3,46,5,NaN,21,78,55,90,37,8,5,27,5,8,NaN,9,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
K. Jørgensen,de0dokhb6u6hts2hu5aupgiga,36g6ifzjliec1jqnbtf7yesme,5,1,Defender,Right,NaN,38,4,7,5,22,3,2,20,50,27,90,16,7,4,29,10,13,5,2,5,1,2,5,2,NaN,2,NaN,NaN,NaN,3,1,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,36g6ifzjliec1jqnbtf7yesme,10,4,Midfielder,Left/Centre,NaN,36,2,10,3,20,1,2,18,43,22,72,19,8,7,24,10,14,NaN,1,NaN,5,2,1,2,2,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,1,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Højholt,eyx42tgneccybvhk8bfhtcaqy,36g6ifzjliec1jqnbtf7yesme,7,2,Midfielder,Centre,NaN,45,2,5,1,31,5,1,18,56,36,90,18,2,13,24,3,3,1,1,1,8,1,1,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
O. Ross,5lz41celw55rz3zh8pohclw5w,36g6ifzjliec1jqnbtf7yesme,4,2,Midfielder,Centre/Right,NaN,29,1,9,1,15,6,1,14,34,17,61,10,3,7,18,10,13,NaN,3,NaN,1,1,1,1,2,3,2,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
Allan Sousa,acd2suy0kx4a4z5xfi1qiwiqx,36g6ifzjliec1jqnbtf7yesme,5,1,Striker,Left/Centre,NaN,36,1,6,11,10,2,NaN,30,44,12,90,15,4,6,41,17,21,2,3,5,4,NaN,5,NaN,3,8,4,NaN,NaN,2,2,NaN,3,3,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
N. Helenius,rv6r0bwbl75er38wklyfpsr9,36g6ifzjliec1jqnbtf7yesme,13,9,Striker,Centre,NaN,22,2,9,3,5,NaN,1,18,32,5,90,2,4,5,28,11,16,3,6,3,4,NaN,NaN,NaN,4,6,5,NaN,1,NaN,NaN,NaN,2,2,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
L. Andersen,8kmwxl1xblwfsb0h40mkgrlcl,36g6ifzjliec1jqnbtf7yesme,6,1,Striker,Centre/Right,NaN,25,3,9,10,8,1,3,19,29,10,89,5,2,3,26,13,15,1,NaN,2,2,2,4,2,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Bomholt,ejixz16616b7krftxyzv9yiac,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
Diego Caballo,974s3rwvb2ls1k1no4hlaz8ph,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
Pedro Ferreira,6fno1nklmlp93liytohma0mol,36g6ifzjliec1jqnbtf7yesme,2,1,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
S. Otoa,dq2eqqywinhsh9ijg8amqyp78,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
J. Pedersen,7165hb1x2ygl2j5weox7hy6i2,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Poulsen,2513579m13glsous1p82fbjzd,36g6ifzjliec1jqnbtf7yesme,2,1,Substitute,NaN,Defender,14,NaN,NaN,2,4,3,NaN,10,20,5,29,11,8,3,16,8,10,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
T. Prica,3v40cf58jryvu4l4cxu4w9ht6,36g6ifzjliec1jqnbtf7yesme,1,1,Substitute,NaN,Attacker,3,NaN,NaN,NaN,NaN,NaN,NaN,3,4,NaN,18,NaN,NaN,1,4,2,3,1,NaN,1,1,NaN,NaN,NaN,2,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
L. Prip,9dnceiwcpsatrdrj2m1uz6pnu,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Attacker,15,2,3,2,5,1,2,11,17,5,29,5,1,2,13,7,9,1,NaN,1,1,NaN,NaN,NaN,4,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Vartuli,1xqap7xy7hm8exzl56ak0xhck,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Delač,8uhv14rin2znrr0wqgvcc2f2t,a9vw7ikerpr4cuweeeka5aneg,NaN,NaN,Goalkeeper,Centre,NaN,7,NaN,2,NaN,5,3,NaN,12,16,5,90,37,15,11,36,3,15,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Saine,7353ysa16qgg30b9z5qiagys4,a9vw7ikerpr4cuweeeka5aneg,4,2,Defender,Left/Centre,NaN,18,NaN,4,1,10,5,NaN,9,32,12,90,19,8,8,22,6,12,NaN,4,NaN,3,1,1,1,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Ludwig,61vr9xr91fr4g6ayzga5vn9w5,a9vw7ikerpr4cuweeeka5aneg,5,3,Defender,Centre,NaN,14,NaN,9,1,7,NaN,NaN,8,25,9,90,15,5,3,17,2,7,1,7,1,3,2,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Kiilerich,630daj1ef34rczbhng0eoncvd,a9vw7ikerpr4cuweeeka5aneg,4,4,Defender,Centre/Right,NaN,15,NaN,2,1,9,2,NaN,7,22,11,90,12,6,7,12,3,7,NaN,1,NaN,5,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
Jean Carlos,4u8nj3oxx8lfxvjnb383baodl,a9vw7ikerpr4cuweeeka5aneg,8,1,Midfielder,Left,NaN,1,2,NaN,NaN,1,1,NaN,NaN,1,1,18,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,a9vw7ikerpr4cuweeeka5aneg,8,NaN,Midfielder,Left/Centre,NaN,10,5,5,8,2,1,2,13,16,3,90,7,4,3,23,8,10,1,NaN,2,2,2,4,2,3,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Opondo,4m3slt6iikaxklqd12i719rl5,a9vw7ikerpr4cuweeeka5aneg,6,1,Midfielder,Centre,NaN,16,5,7,NaN,5,NaN,1,11,21,5,77,7,5,6,16,7,10,NaN,2,NaN,5,4,NaN,4,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
J. Ankersen,4mxciw9jsj9l437fd7bv78p91,a9vw7ikerpr4cuweeeka5aneg,6,1,Midfielder,Centre/Right,NaN,9,8,16,3,7,2,6,5,18,9,77,11,2,4,15,2,6,NaN,4,NaN,1,2,3,2,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
J. Buus,s8c0oxnoqt6zi7pi88rwawvd,a9vw7ikerpr4cuweeeka5aneg,5,2,Midfielder,Right,NaN,15,NaN,2,2,3,NaN,NaN,13,18,3,59,7,5,4,16,10,12,NaN,NaN,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Jacobsen,9yiz575rldkwu7icgqwk1qmdx,a9vw7ikerpr4cuweeeka5aneg,9,7,Striker,Left/Centre,NaN,8,1,4,2,4,1,1,5,16,4,90,6,2,2,13,4,10,2,2,2,1,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
F. Heiselberg,3bxz0cn0chwqvs1114ectrrsa,a9vw7ikerpr4cuweeeka5aneg,8,8,Striker,Centre/Right,NaN,5,NaN,2,NaN,1,NaN,NaN,4,6,1,58,1,NaN,2,5,4,4,1,2,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,a9vw7ikerpr4cuweeeka5aneg,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Bobjerg,cyast97jr969kqwdltszg1p0p,a9vw7ikerpr4cuweeeka5aneg,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Ejupi,23qknnqc6885diyi50phjss7p,a9vw7ikerpr4cuweeeka5aneg,5,NaN,Substitute,NaN,Midfielder,7,NaN,2,1,2,NaN,NaN,5,8,2,32,5,1,1,7,2,3,NaN,1,NaN,1,1,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
Edmílson dos Santos,1vvyuyj2q6w73vf9uhbldti7e,a9vw7ikerpr4cuweeeka5aneg,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
E. Just,b9g3gwxlao9u6y4elz1sdukmh,a9vw7ikerpr4cuweeeka5aneg,NaN,NaN,Substitute,NaN,Midfielder,7,NaN,NaN,1,NaN,1,NaN,7,9,NaN,13,3,2,2,10,3,3,2,NaN,2,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
D. Kruse,1dy0207jxgg8gvuygsd95wdn8,a9vw7ikerpr4cuweeeka5aneg,1,NaN,Substitute,NaN,Midfielder,7,NaN,1,NaN,1,NaN,NaN,6,9,1,31,4,3,1,8,5,6,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Lassen,duahzgqspyuy2gu31u3s8ky96,a9vw7ikerpr4cuweeeka5aneg,8,2,Substitute,NaN,Defender,6,2,3,2,3,5,1,3,17,9,72,9,2,6,9,1,5,NaN,1,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
A. Nehme,9tdl50o579ut0oj2eec0dprtg,a9vw7ikerpr4cuweeeka5aneg,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
F. Kristensen,7pbzgnyig3427nvsukz1bqq6s,a9vw7ikerpr4cuweeeka5aneg,3,2,Substitute,NaN,Midfielder,4,NaN,3,NaN,NaN,1,NaN,4,10,2,13,4,2,2,8,1,3,NaN,2,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
C. Petersen,7xde75gwrng67wvjkugv9xih,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Goalkeeper,Centre,NaN,9,NaN,1,1,4,1,NaN,6,14,5,90,20,11,8,19,4,11,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
J. Kiilerich,c1kv9ybtguhs625d1vwlwa6ay,b8oqgvx1ijeyn6y1cn6929ix4,10,9,Defender,Left/Centre,NaN,32,NaN,5,4,22,4,NaN,15,41,25,90,25,7,9,27,8,11,NaN,5,NaN,5,NaN,6,NaN,NaN,3,2,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
P. Tjørnelund,37mo55lynu3blqnb8k9ln8k16,b8oqgvx1ijeyn6y1cn6929ix4,3,2,Defender,Centre,NaN,23,NaN,3,NaN,18,5,NaN,9,29,22,90,15,5,5,11,4,5,NaN,1,NaN,NaN,3,NaN,3,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
S. Trier,2o8ixlj5a60v1ksfqph5q2k89,b8oqgvx1ijeyn6y1cn6929ix4,4,1,Defender,Centre/Right,NaN,9,NaN,4,NaN,3,2,NaN,6,17,7,45,4,3,3,10,5,7,NaN,1,NaN,1,NaN,NaN,NaN,NaN,2,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
M. Vestergård,f58yr2jmfp8kpgprfxbokt1t6,b8oqgvx1ijeyn6y1cn6929ix4,1,1,Midfielder,Left,NaN,10,NaN,1,3,3,NaN,NaN,8,17,4,45,9,5,NaN,14,6,8,1,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,,NaN,1,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
M. Jespersen,7nt9il7b9vvtgfco15bdpfpx,b8oqgvx1ijeyn6y1cn6929ix4,1,NaN,Midfielder,Left/Centre,NaN,24,1,4,6,8,2,1,22,31,9,67,12,5,7,31,14,18,2,2,3,4,NaN,2,NaN,NaN,2,NaN,,1,1,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
T. Sommer,5jdkdvxssuc8gvzwwrq5bs76y,b8oqgvx1ijeyn6y1cn6929ix4,4,1,Midfielder,Centre/Right,NaN,26,3,8,2,7,6,2,20,32,9,90,13,6,15,25,10,14,NaN,1,NaN,8,NaN,1,NaN,1,NaN,NaN,,1,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,b8oqgvx1ijeyn6y1cn6929ix4,6,1,Midfielder,Right,NaN,10,4,9,4,1,2,4,9,17,3,69,10,5,3,15,9,12,NaN,1,NaN,1,NaN,1,NaN,1,3,1,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
S. Sommer,77ukg02lmfn6r70xfkw9607op,b8oqgvx1ijeyn6y1cn6929ix4,4,NaN,Attacking Midfielder,Centre,NaN,35,1,3,9,6,1,1,31,39,8,90,17,10,7,38,23,24,NaN,NaN,2,6,NaN,3,NaN,NaN,2,NaN,,NaN,NaN,NaN,,1,1,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,b8oqgvx1ijeyn6y1cn6929ix4,4,2,Striker,Left/Centre,NaN,12,1,7,3,NaN,NaN,1,12,23,2,82,4,1,3,21,9,18,NaN,6,NaN,2,NaN,NaN,NaN,1,8,2,,1,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,b8oqgvx1ijeyn6y1cn6929ix4,4,2,Striker,Centre/Right,NaN,14,NaN,3,2,4,4,NaN,10,20,4,90,5,1,4,17,7,11,1,NaN,1,NaN,4,1,4,NaN,5,NaN,,NaN,NaN,NaN,,1,1,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
A. Beck,dyzzo6n83rg4fpvmqqa69moes,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Substitute,NaN,Midfielder,2,NaN,2,2,NaN,NaN,NaN,2,7,1,23,1,NaN,2,6,1,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
S. Denius,24t4ulsxyeufbmnnht3bru3md,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Substitute,NaN,Midfielder,8,NaN,NaN,2,3,1,NaN,7,11,3,21,5,3,2,11,3,6,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
M. Kristensen,932yrcg5whf7qk0o70cx5n88a,b8oqgvx1ijeyn6y1cn6929ix4,1,NaN,Substitute,NaN,Attacker,4,NaN,NaN,NaN,2,NaN,NaN,2,7,2,8,1,NaN,NaN,5,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,1,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
C. Kudsk,eja5wel1vk3bq6nf416b4ajft,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,b8oqgvx1ijeyn6y1cn6929ix4,5,2,Substitute,NaN,Defender,12,3,2,3,3,1,1,9,19,4,45,7,3,3,19,6,11,NaN,1,NaN,1,1,4,1,1,NaN,NaN,,1,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
C. Palm,b6l4m6bmqgil9bjjov4tnuivo,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
M. Due Grandt,2tcdx5rp7vujnlid4oqqxdogk,aqtkb4mgrz8c6iqfufj6qjbv9,5,1,Midfielder,Centre,NaN,45,NaN,3,1,33,1,NaN,14,55,39,90,15,3,9,19,7,7,NaN,1,NaN,7,1,1,1,NaN,NaN,NaN,,1,NaN,NaN,,1,1,,,433,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
K. Shushman,ae86fel4p9nioy219v3lg62hg,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,b8oqgvx1ijeyn6y1cn6929ix4,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
J. Vetter,3ywgt5v070xudujs9f7cuqm7d,b8oqgvx1ijeyn6y1cn6929ix4,9,8,Substitute,NaN,Defender,6,NaN,7,2,4,2,NaN,2,11,5,45,6,1,2,6,NaN,3,1,3,1,NaN,1,NaN,1,NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,,,3412,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29
