playerName,playerId,contestantId,team_name,321,9,24,25,26,label,match_id,date
D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.7884,true,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.03027193807065487,NaN,true,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
S. Sommer,77ukg02lmfn6r70xfkw9607op,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.13080774247646332,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
S. Sommer,77ukg02lmfn6r70xfkw9607op,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.1143081933259964,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.039913710206747055,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
M. Jespersen,7nt9il7b9vvtgfco15bdpfpx,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.019535107538104057,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.09085105359554291,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.6724540591239929,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.01584702730178833,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,ajtb177oqwawkdwbqhldmq6mx,B 93,0.09016238152980804,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.03460774943232536,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,ajtb177oqwawkdwbqhldmq6mx,B 93,0.02567613311111927,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
J. Kiilerich,c1kv9ybtguhs625d1vwlwa6ay,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.018857944756746292,NaN,NaN,true,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
J. Kiilerich,c1kv9ybtguhs625d1vwlwa6ay,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.06772991269826889,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,ajtb177oqwawkdwbqhldmq6mx,B 93,0.03863362967967987,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,ajtb177oqwawkdwbqhldmq6mx,B 93,0.027863753959536552,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,b8oqgvx1ijeyn6y1cn6929ix4,Kolding,0.05558108165860176,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,ajtb177oqwawkdwbqhldmq6mx,B 93,0.015030601061880589,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,ajtb177oqwawkdwbqhldmq6mx,B 93,0.12370410561561584,NaN,NaN,NaN,,B 93 vs Kolding,9f0yduqxyrown55sj6tvzzy1g,2023-08-05
M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,0.022112129256129265,,NaN,NaN,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
M. Greve,ef7l91pb4w6yk7lijxjxlievp,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.031136441975831985,,NaN,true,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
O. Buch,y4dl1rer075c9wz6zhx7skbt,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.02151317521929741,,NaN,true,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,0.04647953808307648,,NaN,NaN,true,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
D. Grétarsson,czpstoiy12awqpasz573ckp91,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,0.021311892196536064,,NaN,true,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
M. Soulas,6rd849oap6uh93wdwjk8590q1,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,0.2326221764087677,,NaN,NaN,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
P. Rejnhold,6gi9kejni27hjp7b43djczz6d,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.05744097754359245,,NaN,NaN,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
L. Jensen,139g7ilwvcpl519v3scnweg2d,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.05862798914313316,,true,NaN,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
O. Buch,y4dl1rer075c9wz6zhx7skbt,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.06817885488271713,,true,NaN,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
P. Rejnhold,6gi9kejni27hjp7b43djczz6d,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.02315540611743927,,NaN,NaN,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
M. Haarup,6t6k24gn6zwxz1g6c3n4ph0q,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,0.022193927317857742,,NaN,true,NaN,Vendsyssel vs SønderjyskE,d7iropdh1n2sty28um8vdf310,2024-05-17
