type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorial,40.4,59.6,NaN,5,26-30,61.9,38.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,31-35,34.5,65.5,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,36-40,76.1,23.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,41-45,29.8,70.2,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,46-50,35.1,64.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,51-55,25.0,75.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,56-60,34.3,65.7,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,61-65,31.7,68.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,66-70,52.9,47.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,71-75,17.9,82.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,76-80,39.7,60.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,81-85,51.2,48.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,86-90,48.4,51.6,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,15,0-15,32.2,67.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,15,16-30,52.2,47.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,15,31-45,44.0,56.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,15,46-60,32.4,67.6,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
