contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668177253,766,15,2,90,30,T. Klysner,d88feog3dgv09oxbzn15xqesq,1,90.1,32.8,2024-04-06T13:52:42.625,2024-04-09T15:14:43,1.0,"{""id"": 4925862753, ""qualifierId"": 321, ""value"": ""0.14205095171928406""}",4925862753,321,0.14205095171928406,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668175727,865,15,2,88,40,M. Freundlich,cuufy3ioo1kio56er2cfn0mqc,1,75.3,62.4,2024-04-06T13:50:52.724,2024-04-09T15:14:42,NaN,"{""id"": 4925854615, ""qualifierId"": 321, ""value"": ""0.022844605147838593""}",4925854615,321,0.022844605147838593,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668175823,867,13,2,88,46,M. Freundlich,cuufy3ioo1kio56er2cfn0mqc,1,80.6,59.5,2024-04-06T13:50:59.930,2024-04-09T15:14:39,NaN,"{""id"": 4925855455, ""qualifierId"": 321, ""value"": ""0.04720155894756317""}",4925855455,321,0.04720155894756317,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668178959,907,15,2,92,56,S. Ouattara,4ri26wiqeesjbca6tpuw67ai,1,91.9,41.2,2024-04-06T13:55:08.923,2024-04-09T15:14:41,1.0,"{""id"": 4925870917, ""qualifierId"": 321, ""value"": ""0.052709244191646576""}",4925870917,321,0.052709244191646576,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672641213,110,15,1,13,4,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,81.1,65.8,2024-04-14T12:14:51.386,2024-04-16T10:29:24,1.0,"{""id"": 4949825835, ""qualifierId"": 321, ""value"": ""0.021854717284440994""}",4949825835,321,0.021854717284440994,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672642425,120,13,1,13,54,K. Ingason,a8opuarwq9byw73nhfgvo9nca,1,90.5,50.7,2024-04-14T12:15:41.627,2024-04-16T10:29:25,1.0,"{""id"": 4949841615, ""qualifierId"": 321, ""value"": ""0.18906249105930328""}",4949841615,321,0.18906249105930328,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672651215,195,13,1,20,22,S. Emini,5x8064b3yr7txk0czddfjtffu,1,70.9,49.6,2024-04-14T12:22:08.837,2024-04-16T10:29:22,NaN,"{""id"": 4949873369, ""qualifierId"": 321, ""value"": ""0.021196363493800163""}",4949873369,321,0.021196363493800163,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672655933,242,15,1,24,45,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,76.2,59.1,2024-04-14T12:26:32.229,2024-04-16T11:29:43,1.0,"{""id"": 4949897007, ""qualifierId"": 321, ""value"": ""0.026881176978349686""}",4949897007,321,0.026881176978349686,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672661091,297,13,1,30,7,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,90.2,60.0,2024-04-14T12:31:54.534,2024-04-14T12:33:08,NaN,"{""id"": 4949923165, ""qualifierId"": 321, ""value"": ""0.08198858052492142""}",4949923165,321,0.08198858052492142,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2672663051,302,15,1,32,18,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,93.5,71.6,2024-04-14T12:34:05.333,2024-04-16T11:29:42,1.0,"{""id"": 4949934395, ""qualifierId"": 321, ""value"": ""0.02371862716972828""}",4949934395,321,0.02371862716972828,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Attempt Saved,Expected Goals
