contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,24,25,26,29,56,63,64,72,73,74,76,77,78,79,80,81,82,89,100,102,103,108,146,147,154,214,215,230,231,233,321,322,326,327,328,374,375,458,16,19,21,23,62,65,84,85,87,120,133,153,254,324,395,396,468,469,61,75,101,121,138,274,280,281,282,323,338,391,472,473,9,60,160,216,217,353,390,114,276,136,139,83,275,67,192,71,113,28,86,66,69,68,273,300,314
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2685042717,659,15,2,67,59,M. Jensen,619s1phj5bkgkug3aszc1y9cl,1,81.2,77.2,2024-05-10T18:24:22.302,2024-05-10T18:25:34,"{""id"": 5017094251, ""qualifierId"": 458}",NaN,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,,NaN,50.8,19,NaN,86.4,69.9,NaN,NaN,NaN,99.4,51.8,659,0.04343108460307121,NaN,1,3,NaN,NaN,NaN,true,NaN,,,NaN,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2685042751,660,15,2,68,2,C. Jørgensen,9fvf8z6p8ok0n5vu999ysfywa,1,79.9,47.7,2024-05-10T18:24:25.533,2024-05-13T17:29:37,"{""id"": 5017094667, ""qualifierId"": 103, ""value"": ""19""}",NaN,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,Center,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,,NaN,49.8,19,true,93.2,49.1,NaN,NaN,NaN,98.9,49.1,660,0.05745294690132141,NaN,1,3,NaN,NaN,NaN,true,NaN,,,NaN,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2685043249,666,16,2,68,38,H. Bonnesen,2pm5oqzyonn0dysa5nszgq3xm,1,96.0,49.9,2024-05-10T18:25:01.446,2024-05-13T17:29:45,"{""id"": 5017097555, ""qualifierId"": 25}",1.0,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,NaN,51.0,8.9,NaN,NaN,NaN,true,true,NaN,99.7,49.5,NaN,0.4505603313446045,0.6438,3,1,true,2024-05-10 19:25:01.194,68:38.308,NaN,true,,,NaN,,,,,,NaN,,NaN,NaN,NaN,99.5,50.2,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2685044047,675,15,2,69,53,D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,1,76.4,55.2,2024-05-10T18:26:16.535,2024-05-13T17:29:58,"{""id"": 5017104811, ""qualifierId"": 146, ""value"": ""98.5""}",1.0,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,47.1,3.8,NaN,98.5,50.7,NaN,NaN,true,NaN,NaN,673,0.030639467760920525,0.1846,2,3,NaN,NaN,NaN,NaN,NaN,,,NaN,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2685044115,677,16,2,69,57,S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,1,94.6,48.0,2024-05-10T18:26:20.462,2024-05-13T17:29:44,"{""id"": 5017104485, ""qualifierId"": 322, ""value"": ""0.875""}",1.0,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,49.4,24.1,NaN,NaN,NaN,true,true,NaN,99.3,47.1,NaN,0.866715133190155,0.875,1,1,true,2024-05-10 19:26:20.112,69:57.226,NaN,true,,,NaN,,,,,,NaN,,NaN,NaN,NaN,0.6,52.0,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,true,675,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2685046215,705,15,2,73,31,J. Rothmann,e2aqcawslcbpp88nia8eko2y1,1,77.7,60.9,2024-05-10T18:29:54.252,2024-05-13T18:10:04,"{""id"": 5017114227, ""qualifierId"": 78}",1.0,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,,NaN,48.8,19,NaN,83.7,59.0,NaN,NaN,true,98.5,49.8,713,0.034810613840818405,NaN,2,3,NaN,NaN,NaN,NaN,NaN,,,NaN,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2685051297,745,13,2,78,51,C. Jensen,74m58jsznzu8l89b8h7rkh1bd,1,82.8,62.0,2024-05-10T18:35:14.740,2024-05-13T18:10:03,"{""id"": 5017141649, ""qualifierId"": 230, ""value"": ""97.3""}",1.0,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,NaN,32.4,40.3,NaN,NaN,NaN,NaN,NaN,true,97.3,52.3,NaN,0.056637633591890335,NaN,2,2,NaN,NaN,NaN,NaN,NaN,,,NaN,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2685056659,764,15,2,82,59,M. Jensen,619s1phj5bkgkug3aszc1y9cl,1,82.2,55.8,2024-05-10T18:39:21.961,2024-05-13T18:09:59,"{""id"": 5017170177, ""qualifierId"": 22}",NaN,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,Center,,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,52.3,5.1,NaN,95.6,51.4,NaN,NaN,true,NaN,NaN,781,0.0910901129245758,0.101,3,1,NaN,NaN,NaN,true,NaN,,,NaN,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2685057591,790,16,2,83,47,M. Bøttker,8xfqengyrwgxhhi86ok88vf2s,1,92.4,65.6,2024-05-10T18:40:10.960,2024-05-13T18:10:01,"{""id"": 5017181319, ""qualifierId"": 230, ""value"": ""99.5""}",1.0,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,47.1,17.1,NaN,NaN,NaN,NaN,true,true,99.5,54.0,NaN,0.23694764077663422,0.7998,1,1,NaN,2024-05-10 19:40:09.300,83:46.414,NaN,NaN,,,NaN,,,,,,NaN,,NaN,true,true,0.2,46.8,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2685059063,799,15,2,85,3,G. Højbjerg,ab3nxxoj7bxlnhot9htoex1xw,1,87.6,55.1,2024-05-10T18:41:26.883,2024-05-13T18:10:06,"{""id"": 5017184875, ""qualifierId"": 146, ""value"": ""98.0""}",NaN,5803wrh3v8ftuvf75vd5t9ic4,B 93 vs HB Køge,2024-05-10,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,53.5,3.2,NaN,98.0,50.7,NaN,NaN,true,NaN,NaN,775,0.2666082978248596,0.3644,2,2,NaN,NaN,NaN,true,NaN,,,true,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,,,,,NaN,,,
