contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,24,25,29,56,61,63,64,72,73,74,75,76,77,78,80,81,82,84,89,100,102,103,108,133,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,21,60,83,139,323,338,9,26,86,101,120,136,324,353,390,65,79,113,114,138,273,62,66,85,280,281,282,472,28,70,254,275,473,87,67,19,274,276,121,137,468,469,216,217,314,122,300
36g6ifzjliec1jqnbtf7yesme,AaB,2621456661,458,15,2,46,38,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,93.0,43.7,2023-11-26T15:07:40.650,2023-11-28T17:30:05,1.0,"{""id"": 4675966155, ""qualifierId"": 231, ""value"": ""47.5""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,true,50.2,19,NaN,NaN,94.7,45.3,NaN,true,NaN,NaN,NaN,98.6,47.5,436,0.07029552757740021,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621458641,459,15,2,48,13,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,94.7,62.5,2023-11-26T15:09:14.741,2023-11-28T17:30:06,1.0,"{""id"": 4680637947, ""qualifierId"": 61}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,52.4,12.7,NaN,NaN,96.9,58.3,NaN,NaN,NaN,true,NaN,NaN,NaN,466,0.3008619546890259,0.424,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621471547,530,13,2,58,58,S. Jakobsen,dppuijohq1dfgwzfs2u1lynkl,1,89.8,52.8,2023-11-26T15:19:59.827,2023-11-28T18:14:53,1.0,"{""id"": 4676259209, ""qualifierId"": 146, ""value"": ""95.6""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.6,12.5,NaN,NaN,95.6,42.4,true,true,NaN,NaN,NaN,98.8,50.5,NaN,0.060422446578741074,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621474911,563,15,2,61,52,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,86.8,46.8,2023-11-26T15:22:53.938,2023-11-28T18:14:49,1.0,"{""id"": 4676067573, ""qualifierId"": 102, ""value"": ""50.7""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,true,NaN,true,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,50.7,19,NaN,NaN,89.7,47.7,NaN,true,NaN,NaN,NaN,98.1,50.2,604,0.11713812500238419,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621469097,581,13,2,56,56,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,72.5,44.5,2023-11-26T15:17:57.713,2023-11-28T17:30:12,1.0,"{""id"": 4676032417, ""qualifierId"": 22}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.3,72.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.1,48.6,NaN,0.02927512675523758,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621484371,653,16,2,70,59,L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,1,95.7,58.8,2023-11-26T15:32:00.416,2023-11-28T18:14:51,1.0,"{""id"": 4676123933, ""qualifierId"": 322, ""value"": ""0.1659""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.7,13.3,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.9,51.3,NaN,0.14082258939743042,0.1659,1,3,true,2023-11-26 15:31:59.966,70:58.892,NaN,99.4,54.3,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621487185,672,15,2,73,32,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,86.6,63.3,2023-11-26T15:34:33.903,2023-11-28T18:14:48,1.0,"{""id"": 4676133553, ""qualifierId"": 146, ""value"": ""89.9""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,51.9,19,NaN,NaN,89.9,60.5,NaN,true,NaN,NaN,NaN,97.2,53.1,697,0.06344194710254669,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621488389,710,16,2,74,32,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,92.7,47.2,2023-11-26T15:35:33.605,2023-11-28T18:14:57,1.0,"{""id"": 4676139035, ""qualifierId"": 326, ""value"": ""3""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,49.2,4.4,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,98.1,50.7,NaN,0.3404822051525116,0.5505,3,1,true,2023-11-26 15:35:33.131,74:32.057,NaN,1.1,52.2,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621494739,724,15,2,80,23,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,79.3,31.0,2023-11-26T15:41:24.222,2023-11-28T18:15,1.0,"{""id"": 4676172511, ""qualifierId"": 22}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.9,15.8,NaN,NaN,98.1,47.8,NaN,NaN,NaN,NaN,true,NaN,NaN,764,0.03576058894395828,0.1111,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621495309,727,16,2,80,54,S. Jakobsen,dppuijohq1dfgwzfs2u1lynkl,1,90.2,57.7,2023-11-26T15:41:55.318,2023-11-28T18:14:50,1.0,"{""id"": 4680755443, ""qualifierId"": 396, ""value"": ""50""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,51.3,2.5,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,98.8,51.1,NaN,0.027017472311854362,0.0533,2,3,true,2023-11-26 15:41:54.625,80:53.551,NaN,98.8,50,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
