contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,9,15,16,17,18,19,20,22,24,25,26,29,56,63,64,70,72,73,74,75,76,77,78,79,80,81,82,83,84,85,100,102,103,108,114,121,137,139,146,147,153,154,214,215,230,231,233,321,322,323,324,326,327,328,338,353,374,375,390,395,396,458,468,469,23,89,113,120,136,391,61,133,28,87,280,281,282,472,473,60,138,273,86,21,101,160,254,300,65,274,216,217,275,62,343,276,192,66,68
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569877955,149,13,1,15,50,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,92.2,42.1,2023-07-23T12:15:58.132,2023-07-25T12:30:17,"{""id"": 4398735473, ""qualifierId"": 153}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.8,6.9,NaN,NaN,NaN,NaN,NaN,95.3,53.8,true,true,NaN,NaN,99.1,46.8,NaN,0.09548483043909073,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569880853,169,13,1,23,48,M. Mølvadgaard,24dnlh5ep1kag3tivpwu832sp,1,54.4,32.4,2023-07-23T12:23:55.613,2023-07-25T12:30:21,"{""id"": 4398678063, ""qualifierId"": 231, ""value"": ""47.3""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.4,16.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,91.4,47.3,NaN,0.013712113723158836,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569879523,177,13,1,20,2,N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,1,91.8,27.2,2023-07-23T12:20:09.547,2023-07-23T12:27:45,"{""id"": 4398678779, ""qualifierId"": 84}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,43.7,5.6,NaN,NaN,NaN,true,NaN,99.4,42.8,true,NaN,NaN,NaN,98.2,44.9,NaN,0.016826767474412918,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569879771,180,16,1,20,46,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,95.7,46.9,2023-07-23T12:20:53.867,2023-07-23T12:22:45,"{""id"": 4398673937, ""qualifierId"": 230, ""value"": ""99.3""}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.3,31.0,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3,46.9,NaN,0.26779115200042725,0.1974,NaN,NaN,3,3,NaN,NaN,NaN,2023-07-23 13:20:53.568,20:46.375,NaN,99.1,46.9,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569880321,186,13,1,22,23,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,91.6,34.6,2023-07-23T12:22:30.731,2023-07-25T12:30:22,"{""id"": 4398676631, ""qualifierId"": 321, ""value"": ""0.22978810966014862""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.9,13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,96.9,43.0,NaN,0.22978810966014862,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569881621,205,15,1,26,21,M. Mølvadgaard,24dnlh5ep1kag3tivpwu832sp,1,80.5,46.6,2023-07-23T12:26:28.459,2023-07-25T13:14:59,"{""id"": 4398681757, ""qualifierId"": 146, ""value"": ""90.6""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.2,7.0,NaN,NaN,NaN,NaN,NaN,90.6,47.8,NaN,NaN,NaN,true,NaN,NaN,225,0.05512294918298721,0.1341,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569885805,310,15,1,40,17,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,88.5,66.4,2023-07-23T12:40:24.806,2023-07-25T13:14:51,"{""id"": 4398704741, ""qualifierId"": 56, ""value"": ""Center""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.0,7.6,NaN,NaN,NaN,NaN,NaN,98.4,53.1,NaN,true,true,NaN,NaN,NaN,341,0.116086944937706,0.0743,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569886909,332,15,1,44,4,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,91.6,54.0,2023-07-23T12:44:11.783,2023-07-25T13:14:54,"{""id"": 4398711081, ""qualifierId"": 327, ""value"": ""2""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.0,7.6,NaN,true,NaN,NaN,NaN,93.4,52.7,NaN,true,true,NaN,NaN,NaN,368,0.1276988834142685,0.6096,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569887069,338,15,1,44,30,M. Mølvadgaard,24dnlh5ep1kag3tivpwu832sp,1,92.3,54.4,2023-07-23T12:44:38.850,2023-07-25T13:14:52,"{""id"": 4398732433, ""qualifierId"": 146, ""value"": ""95.4""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.6,5.7,NaN,NaN,NaN,NaN,NaN,95.4,53.4,NaN,true,true,NaN,NaN,NaN,372,0.09465162456035614,0.4125,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569887101,340,13,1,44,34,A. Njai,f1ba9g771s0zeel0titcj3omi,1,85.5,68.4,2023-07-23T12:44:41.396,2023-07-25T13:14:46,"{""id"": 4398712049, ""qualifierId"": 64}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.3,11.1,true,NaN,true,NaN,NaN,93.4,52.9,true,NaN,NaN,true,98.9,52.3,375,0.02657102234661579,NaN,true,NaN,1,3,true,338,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
