contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,23,24,25,26,29,56,63,64,72,73,74,75,76,77,78,79,80,82,84,87,89,100,102,103,108,121,133,138,146,147,153,154,160,214,215,230,231,233,254,274,275,321,322,324,326,327,328,374,375,391,395,396,458,468,61,65,66,81,85,101,120,136,16,60,62,280,281,282,472,114,67,68,70,83,113,323,338,9,353,390,19,137,139,469,21,28,473,300,273,86,276,216,217
9p2s410bvc59jz238ugicc3fn,Næstved,2665568199,410,13,1,46,26,P. Banda,c6x3omnbbq5hw10xsxcq1yec4,1,88.6,59.1,2024-03-31T12:47:50.312,2024-03-31T12:50:37,"{""id"": 4911756363, ""qualifierId"": 328}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.3,4.2,true,NaN,NaN,NaN,91.9,51.6,true,NaN,true,NaN,true,97.5,53.3,NaN,NaN,NaN,NaN,0.0547480471432209,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665591799,474,13,2,49,15,F. Christensen,86elyas9hffkzucaq158gfnit,1,90.9,58.7,2024-03-31T13:07:52.639,2024-03-31T13:10:14,"{""id"": 4911869757, ""qualifierId"": 24}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,true,true,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.4,18.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.9,52.0,NaN,NaN,NaN,NaN,0.031518224626779556,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665602881,551,13,2,56,51,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,91.4,45.6,2024-03-31T13:15:28.728,2024-03-31T13:16:56,"{""id"": 4911920285, ""qualifierId"": 231, ""value"": ""49.3""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,42.5,56.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.8,49.3,NaN,NaN,NaN,NaN,0.16257618367671967,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665608289,587,15,2,60,34,N. Girmai Netabay,9469qatlpe6rdqko8c6ha4out,1,86.7,45.7,2024-03-31T13:19:10.967,2024-03-31T13:20:29,"{""id"": 4997178235, ""qualifierId"": 468, ""value"": ""2681383411""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,49.3,19,NaN,NaN,NaN,NaN,90.6,46.8,NaN,true,NaN,NaN,NaN,99.3,48.9,605,NaN,NaN,NaN,0.11801964789628983,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,2681383411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665608349,588,13,2,60,36,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,89.9,55.4,2024-03-31T13:19:12.920,2024-03-31T13:20:24,"{""id"": 4911944429, ""qualifierId"": 108}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.6,72.2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.6,50.7,NaN,NaN,NaN,NaN,0.12545521557331085,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665610401,604,16,2,62,2,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,90.3,59.3,2024-03-31T13:20:38.991,2024-03-31T13:22:10,"{""id"": 4911958665, ""qualifierId"": 103, ""value"": ""1.3""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.3,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.2,52.0,NaN,NaN,NaN,NaN,0.20583343505859375,0.2757,NaN,3,2,true,2024-03-31 14:20:38.272,62:01.486,NaN,1.9,46.2,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2665613581,638,15,2,64,21,M. Brems,2n4w77c099dyp51f44djz50tm,1,91.7,59.9,2024-03-31T13:22:58.191,2024-03-31T13:25:59,"{""id"": 4911969725, ""qualifierId"": 22}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,50.7,19,true,NaN,NaN,NaN,97.1,54.0,NaN,true,NaN,true,NaN,98.4,53.3,606,NaN,NaN,NaN,0.1847498118877411,NaN,NaN,1,2,true,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665618961,643,15,2,69,25,K. Ayer,5lcd3t0so5nozfdfw9zuri63u,1,89.5,29.7,2024-03-31T13:28:02.116,2024-03-31T13:29:15,"{""id"": 4911998673, ""qualifierId"": 147, ""value"": ""33.2""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,49.6,19,NaN,NaN,NaN,NaN,91.4,33.2,NaN,true,NaN,NaN,NaN,98.4,48.0,679,NaN,NaN,NaN,0.03152003884315491,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2665614111,644,13,2,64,44,S. Ylätupa,ersburboye1ic6pxc36ytm4et,1,90.1,50.9,2024-03-31T13:23:21.278,2024-03-31T13:28:11,"{""id"": 4911972423, ""qualifierId"": 22}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,true,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.0,76.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.6,51.3,NaN,NaN,NaN,NaN,0.07139444351196289,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665619507,646,13,2,70,4,F. Christensen,86elyas9hffkzucaq158gfnit,1,89.8,57.0,2024-03-31T13:28:41.500,2024-03-31T13:30:01,"{""id"": 4912001091, ""qualifierId"": 230, ""value"": ""99.3""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.3,77.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.3,51.3,NaN,NaN,NaN,NaN,0.035730183124542236,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
