id,contestantId,team_name,playerName,playerId,q_qualifierId,q_value,match_id,label,date
2569293575,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,E. Semovski,8qzac8nxm8nxbckdaisnooutw,321,0.1408371478319168,9atwhxb8lbggll5j9ag0xlst0,Hillerød vs HB Køge,2023-07-21
2569296019,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,J. Adedeji,4sgxth7onhb5mu29bgyupby3u,321,0.09512881934642792,9atwhxb8lbggll5j9ag0xlst0,Hillerød vs HB Køge,2023-07-21
2569298645,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,B. Alkhoudari,6orujbbswf771s9rv0dcd8kd0,321,0.022058557718992233,9atwhxb8lbggll5j9ag0xlst0,Hillerød vs HB Køge,2023-07-21
2569302179,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,C. Jørgensen,9fvf8z6p8ok0n5vu999ysfywa,321,0.006356893107295036,9atwhxb8lbggll5j9ag0xlst0,Hillerød vs HB Køge,2023-07-21
2569267013,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,T. Anker,10lj2qekb1e4c8ful68b1pazt,321,0.038995496928691864,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569275097,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,C. Lange,1w8gujxthv0lfjrn98paa1uga,321,0.12629590928554535,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569275817,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,L. Steffensen,9l89n30nejpn2u22ygvchwnze,321,0.13294392824172974,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569276619,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,L. Steffensen,9l89n30nejpn2u22ygvchwnze,321,0.17612247169017792,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569276651,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,S. Andreasen,4qyfoq5fjiochtj89w426lm21,321,0.1826414316892624,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569277127,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,321,0.018757089972496033,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569278375,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,S. Andreasen,4qyfoq5fjiochtj89w426lm21,321,0.10613209754228592,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
