contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,19,20,22,23,25,26,29,56,60,61,63,64,72,73,74,75,76,77,78,79,80,81,82,83,84,85,89,102,103,108,133,146,147,153,154,160,214,215,230,231,233,254,321,322,323,324,326,327,328,338,343,374,375,391,395,396,458,468,16,24,65,21,136,138,274,275,120,86,121,300,62,87,122,280,281,282,472,9,353,390,100,101,114,139,469,216,217,276,473,66,68,273,28,189,192,67
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653287111,27,15,1,1,34,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,91.2,43.5,2024-03-02T14:03:35.552,2024-03-02T14:05:17,1.0,"{""id"": 4845585911, ""qualifierId"": 22}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,true,NaN,NaN,true,true,,NaN,,true,Center,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,48.8,19,NaN,NaN,92.4,44.2,NaN,true,,NaN,NaN,98.0,46.9,18,,0.09860802441835403,NaN,,,3,2,true,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2653288589,30,16,1,2,50,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,86.1,51.4,2024-03-02T14:04:51.534,2024-03-02T14:06:18,1.0,"{""id"": 4845597927, ""qualifierId"": 230, ""value"": ""97.8""}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,true,NaN,NaN,NaN,true,,NaN,,true,Center,NaN,NaN,,NaN,true,NaN,NaN,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,51.6,8.9,NaN,true,NaN,NaN,NaN,true,,NaN,NaN,97.8,49.8,NaN,,0.0779690146446228,0.0657,,,3,2,NaN,,,2024-03-02 14:04:50.656,02:49.538,NaN,2.7,52.7,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653304359,165,13,1,15,32,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,82.2,37.0,2024-03-02T14:17:33.545,2024-03-02T14:18:48,1.0,"{""id"": 4845681565, ""qualifierId"": 22}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,true,true,,NaN,,true,Center,NaN,NaN,,NaN,NaN,true,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,62.9,26.4,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,true,95.8,45.7,NaN,,0.06293609738349915,NaN,,,2,2,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653306159,190,15,1,17,14,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,1,82.3,38.8,2024-03-02T14:19:15.666,2024-03-02T14:20:54,1.0,"{""id"": 4845692029, ""qualifierId"": 326, ""value"": ""3""}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,NaN,true,,NaN,,true,Center,NaN,NaN,,NaN,true,NaN,NaN,,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,48.2,19,NaN,NaN,84.3,39.9,NaN,NaN,,NaN,true,97.5,47.8,150,,0.031794968992471695,NaN,,,3,2,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653306217,191,15,1,17,17,K. Ingason,a8opuarwq9byw73nhfgvo9nca,1,81.3,62.7,2024-03-02T14:19:18.521,2024-03-02T14:21:13,NaN,"{""id"": 4845692347, ""qualifierId"": 22}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,true,true,,NaN,,NaN,Center,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,46.7,24.1,NaN,NaN,99.1,51.8,NaN,NaN,,NaN,true,NaN,NaN,151,,0.07769007980823517,0.3609,,,1,2,NaN,,,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,,,,,,,true,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653309921,231,15,1,20,36,S. Emini,5x8064b3yr7txk0czddfjtffu,1,79.0,62.2,2024-03-02T14:22:37.766,2024-03-02T14:24:56,1.0,"{""id"": 4845719143, ""qualifierId"": 146, ""value"": ""84.6""}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,true,true,,NaN,,true,Center,NaN,NaN,,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,53.0,19,NaN,NaN,84.6,59.8,NaN,NaN,,NaN,true,98.5,53.4,177,,0.07040102779865265,NaN,,,1,3,true,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653310069,236,15,1,20,47,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,1,79.9,71.1,2024-03-02T14:22:48.126,2024-03-02T14:29:37,1.0,"{""id"": 4845713513, ""qualifierId"": 56, ""value"": ""Center""}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,true,true,,NaN,,true,Center,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,51.6,19,NaN,NaN,81.4,69.7,NaN,NaN,,NaN,true,99.1,52.7,180,,0.01036524586379528,NaN,,,3,3,true,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653315647,319,13,1,27,0,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,78.8,25.1,2024-03-02T14:29:01.632,2024-03-02T14:31:10,1.0,"{""id"": 4845745815, ""qualifierId"": 22}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,true,true,,NaN,,true,Center,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,58.0,22.2,true,NaN,98.1,56.3,true,NaN,,NaN,true,93.6,43.0,NaN,,0.015510492026805878,NaN,,,2,1,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,true,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2653335639,326,13,1,41,44,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,74.3,53.0,2024-03-02T14:43:45.953,2024-03-02T16:18:51,NaN,"{""id"": 4845849451, ""qualifierId"": 327, ""value"": ""3""}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,NaN,NaN,,true,,NaN,Center,NaN,NaN,,NaN,true,NaN,true,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,51.1,79.2,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,true,98.2,50.2,NaN,,0.027352819219231606,NaN,,,1,3,true,,,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2653318881,338,13,1,29,51,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,1,78.3,39.7,2024-03-02T14:31:52.976,2024-03-02T14:33:17,1.0,"{""id"": 4845763005, ""qualifierId"": 18}",a3wk4l5t8geailbkkoe67osno,SønderjyskE vs Vendsyssel,2024-03-02,NaN,NaN,true,NaN,true,true,,NaN,,true,Center,NaN,NaN,,NaN,NaN,NaN,true,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,48.9,87.5,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,true,95.6,47.5,NaN,,0.06781893968582153,NaN,,,1,2,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,,,,,NaN,,,,,,,,,,,NaN,NaN,NaN,NaN,,NaN,,,,,,,NaN,,,NaN,,,
