contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625351955,608,15,2,65,14,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,82.4,50.7,2023-12-05T18:53:11.465,2023-12-07T17:29:34,"{""id"": 4696843973, ""qualifierId"": 321, ""value"": ""0.050264179706573486""}",1.0,4696843973,321,0.050264179706573486,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625354731,664,15,2,70,53,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,72.8,40.7,2023-12-05T18:58:50.780,2023-12-07T17:29:39,"{""id"": 4696861801, ""qualifierId"": 321, ""value"": ""0.019093144685029984""}",NaN,4696861801,321,0.019093144685029984,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625356369,698,15,2,73,48,M. Vestergård,f58yr2jmfp8kpgprfxbokt1t6,1,75.6,47.4,2023-12-05T19:01:45.860,2023-12-07T17:29:42,"{""id"": 4696868941, ""qualifierId"": 321, ""value"": ""0.047035206109285355""}",NaN,4696868941,321,0.047035206109285355,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625360599,743,15,2,79,16,C. Kudsk,eja5wel1vk3bq6nf416b4ajft,1,89.9,51.7,2023-12-05T19:07:13.116,2023-12-07T17:29:36,"{""id"": 4696893117, ""qualifierId"": 321, ""value"": ""0.12445864081382751""}",NaN,4696893117,321,0.12445864081382751,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625362141,761,15,2,81,1,A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,1,86.0,68.7,2023-12-05T19:08:58.570,2023-12-07T17:29:41,"{""id"": 4696902003, ""qualifierId"": 321, ""value"": ""0.038463808596134186""}",NaN,4696902003,321,0.038463808596134186,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625365863,794,14,2,85,18,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,79.9,47.2,2023-12-05T19:13:14.731,2023-12-05T19:14:26,"{""id"": 4696923195, ""qualifierId"": 321, ""value"": ""0.04203825071454048""}",NaN,4696923195,321,0.04203825071454048,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Post,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625370271,842,13,2,90,33,A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,1,74.4,39.4,2023-12-05T19:18:30.439,2023-12-05T19:19:45,"{""id"": 4696948389, ""qualifierId"": 321, ""value"": ""0.03130987659096718""}",1.0,4696948389,321,0.03130987659096718,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625372041,858,15,2,92,34,S. Trier,2o8ixlj5a60v1ksfqph5q2k89,1,81.8,46.8,2023-12-05T19:20:31.303,2023-12-05T19:21:43,"{""id"": 4696958571, ""qualifierId"": 321, ""value"": ""0.026765797287225723""}",NaN,4696958571,321,0.026765797287225723,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625372953,873,15,2,93,43,S. Trier,2o8ixlj5a60v1ksfqph5q2k89,1,84.0,53.8,2023-12-05T19:21:40.108,2023-12-05T19:24:05,"{""id"": 4696969769, ""qualifierId"": 321, ""value"": ""0.057510100305080414""}",1.0,4696969769,321,0.057510100305080414,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625375871,899,13,2,96,54,C. Vestergaard,3xz0h3d6r2qgmv9egms8yaz56,1,76.3,32.7,2023-12-05T19:24:51.191,2023-12-05T19:25:19,"{""id"": 4696980421, ""qualifierId"": 321, ""value"": ""0.020506449043750763""}",NaN,4696980421,321,0.020506449043750763,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Miss,Expected Goals
