contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,9,15,16,17,18,20,22,24,25,26,29,56,60,63,64,72,73,74,76,77,78,80,81,82,83,86,100,102,103,108,114,133,138,139,146,147,153,154,214,215,216,217,230,231,233,275,280,281,282,314,321,322,324,326,327,328,353,374,375,390,458,468,469,472,473,19,23,75,84,85,121,254,276,323,338,391,79,120,300,395,396,61,62,89,87,113,65,136,69,122,160,273,71,101,21,67,66,28,70,68,274
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625360599,743,15,2,79,16,C. Kudsk,eja5wel1vk3bq6nf416b4ajft,1,89.9,51.7,2023-12-05T19:07:13.116,2023-12-07T17:29:36,NaN,"{""id"": 4696898113, ""qualifierId"": 231, ""value"": ""51.4""}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,,true,NaN,,NaN,52.8,19,NaN,,NaN,NaN,,90.8,51.8,,NaN,NaN,NaN,,,98.8,51.4,778,NaN,,,,,0.12445864081382751,NaN,NaN,3,2,NaN,,NaN,NaN,,true,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625362141,761,15,2,81,1,A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,1,86.0,68.7,2023-12-05T19:08:58.570,2023-12-07T17:29:41,NaN,"{""id"": 4700439541, ""qualifierId"": 108}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,,NaN,46.4,11.4,true,,NaN,NaN,,98.8,53.4,,NaN,NaN,NaN,,,NaN,NaN,798,NaN,,,,,0.038463808596134186,0.3108,NaN,1,3,true,,NaN,NaN,,true,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625365863,794,14,2,85,18,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,79.9,47.2,2023-12-05T19:13:14.731,2023-12-05T19:14:26,NaN,"{""id"": 4696923987, ""qualifierId"": 215}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,55.2,8.2,true,,NaN,NaN,,NaN,NaN,,NaN,NaN,true,,,98.0,49.1,NaN,NaN,,,,,0.04203825071454048,NaN,NaN,2,2,NaN,,NaN,NaN,,true,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625368297,818,15,2,88,10,C. Vestergaard,3xz0h3d6r2qgmv9egms8yaz56,1,92.7,47.0,2023-12-05T19:16:06.866,2023-12-05T20:14:01,1.0,"{""id"": 4696950323, ""qualifierId"": 273}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,true,,true,NaN,NaN,NaN,true,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,true,NaN,,NaN,48.9,19,NaN,,NaN,true,,93.8,47.3,,true,NaN,NaN,,,99.3,51.4,846,NaN,,,,,0.06096392124891281,NaN,NaN,3,2,true,,NaN,NaN,,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,true,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625368841,824,13,2,88,47,C. Vestergaard,3xz0h3d6r2qgmv9egms8yaz56,1,93.0,48.3,2023-12-05T19:16:43.609,2023-12-05T19:18,1.0,"{""id"": 4696941287, ""qualifierId"": 103, ""value"": ""12.5""}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,true,,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,true,,NaN,57.5,12.5,NaN,,NaN,NaN,,NaN,NaN,,true,NaN,NaN,,,99.3,48.7,NaN,NaN,,,,,0.2118675261735916,NaN,NaN,2,1,true,,NaN,NaN,,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625370271,842,13,2,90,33,A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,1,74.4,39.4,2023-12-05T19:18:30.439,2023-12-05T19:19:45,1.0,"{""id"": 4696948753, ""qualifierId"": 230, ""value"": ""99.1""}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,68.4,38.9,NaN,,NaN,NaN,,NaN,NaN,,NaN,NaN,true,,,99.1,48.0,NaN,NaN,,,,,0.03130987659096718,NaN,NaN,1,3,NaN,,NaN,NaN,,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,true,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625372041,858,15,2,92,34,S. Trier,2o8ixlj5a60v1ksfqph5q2k89,1,81.8,46.8,2023-12-05T19:20:31.303,2023-12-05T19:21:43,NaN,"{""id"": 4696959079, ""qualifierId"": 458}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,NaN,,NaN,51.9,7.6,true,,true,NaN,,98.4,48.6,,NaN,NaN,true,,,NaN,NaN,880,NaN,,,,,0.026765797287225723,0.079,NaN,3,3,NaN,,NaN,NaN,,true,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625372953,873,15,2,93,43,S. Trier,2o8ixlj5a60v1ksfqph5q2k89,1,84.0,53.8,2023-12-05T19:21:40.108,2023-12-05T19:24:05,1.0,"{""id"": 4696970247, ""qualifierId"": 29}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,true,NaN,true,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,true,NaN,,NaN,50.9,19,NaN,,NaN,NaN,,87.1,53.3,,NaN,NaN,NaN,,,98.5,51.8,886,NaN,,,,,0.057510100305080414,NaN,NaN,2,3,NaN,,NaN,NaN,,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625375871,899,13,2,96,54,C. Vestergaard,3xz0h3d6r2qgmv9egms8yaz56,1,76.3,32.7,2023-12-05T19:24:51.191,2023-12-05T19:25:19,NaN,"{""id"": 4696980685, ""qualifierId"": 458}",a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,,NaN,,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,61.7,2.8,NaN,,NaN,NaN,,NaN,NaN,,NaN,NaN,true,,,98.8,48.0,NaN,NaN,,,,,0.020506449043750763,NaN,NaN,2,3,NaN,,NaN,NaN,,true,NaN,,,,,,,,NaN,,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2650047087,12,15,1,1,18,M. Ladefoged,bdxcd38y99nrbv72uh2v4fhg4,1,93.0,56.0,2024-02-24T14:02:48.140,2024-02-24T14:04:15,1.0,"{""id"": 4828117443, ""qualifierId"": 154}",a35e0qlrgd2lpz012vj0u4650,B 93 vs Næstved,2024-02-24,,true,NaN,true,NaN,NaN,NaN,,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,NaN,45.6,26.6,NaN,NaN,NaN,,NaN,98.8,52.0,NaN,true,NaN,NaN,,,NaN,NaN,15,,,,,,0.015110533684492111,0.7301,,3,2,true,,,,,NaN,,,,,NaN,NaN,NaN,,NaN,,,,,,NaN,,,,,,,,,,,,,,,true,,,,,,,,,,
