contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
6wwwud48qahpwrfxs20334qk5,Fredericia,2584836999,435,13,2,45,54,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,88.0,37.7,2023-09-01T18:02:41.919,2023-09-01T18:03:51,"{""id"": 4480290903, ""qualifierId"": 321, ""value"": ""0.10062765330076218""}",NaN,4480290903,321,0.10062765330076218,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584824933,451,14,1,41,20,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,89.8,58.6,2023-09-01T17:42:27.647,2023-09-01T17:43:57,"{""id"": 4480228759, ""qualifierId"": 321, ""value"": ""0.12393578141927719""}",1.0,4480228759,321,0.12393578141927719,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Post,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584843881,553,15,2,51,57,A. Simon Okosun,a7eramyy1bd8msxmg84ctc8ut,1,82.3,46.4,2023-09-01T18:08:45.320,2023-09-01T19:06:53,"{""id"": 4480373813, ""qualifierId"": 321, ""value"": ""0.07991847395896912""}",1.0,4480373813,321,0.07991847395896912,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584847647,586,15,2,55,9,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,90.8,44.9,2023-09-01T18:11:56.920,2023-09-01T18:13:09,"{""id"": 4480347281, ""qualifierId"": 321, ""value"": ""0.11097665131092072""}",NaN,4480347281,321,0.11097665131092072,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584859369,605,16,2,65,24,N. Ritter,vhi48idnigudh60qxq6eacph,1,90.8,64.8,2023-09-01T18:22:11.779,2023-09-01T18:23:38,"{""id"": 4480411873, ""qualifierId"": 321, ""value"": ""0.05171193927526474""}",1.0,4480411873,321,0.05171193927526474,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Goal,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584851879,631,13,2,58,51,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,93.0,43.7,2023-09-01T18:15:39.590,2023-09-01T19:06:44,"{""id"": 4480370169, ""qualifierId"": 321, ""value"": ""0.1090150773525238""}",1.0,4480370169,321,0.1090150773525238,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584864575,632,13,2,69,54,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,85.5,35.4,2023-09-01T18:26:41.806,2023-09-01T18:28:04,"{""id"": 4480440213, ""qualifierId"": 321, ""value"": ""0.09668998420238495""}",1.0,4480440213,321,0.09668998420238495,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584854809,648,15,2,61,26,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,81.8,64.1,2023-09-01T18:18:14.630,2023-09-01T19:06:58,"{""id"": 4480385463, ""qualifierId"": 321, ""value"": ""0.030910545960068703""}",NaN,4480385463,321,0.030910545960068703,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584869173,681,15,2,74,7,T. Bach,5lssweodhkyifhj333v6f6r6c,1,67.2,55.5,2023-09-01T18:30:55.210,2023-09-01T18:32:05,"{""id"": 4480464113, ""qualifierId"": 321, ""value"": ""0.019291602075099945""}",NaN,4480464113,321,0.019291602075099945,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584870377,691,15,2,75,8,N. Røjkjær,drzdo6ouxi5n4jafhfajpor85,1,88.6,32.4,2023-09-01T18:31:55.902,2023-09-01T18:33:35,"{""id"": 4480473167, ""qualifierId"": 321, ""value"": ""0.04307534545660019""}",1.0,4480473167,321,0.04307534545660019,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
