contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,23,25,29,56,60,63,64,67,72,73,74,75,77,78,79,80,81,82,83,84,89,102,103,108,114,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,9,16,24,26,62,70,76,86,100,138,275,323,324,338,353,390,28,61,87,120,121,280,281,282,468,469,472,473,85,101,133,136,113,21,66,19,65,314,68,276,139,254,137,69,216,217,300
b2vft81kyjurzbmekvgrqwr64,Hobro,2572987699,545,15,2,57,19,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,90.6,59.8,2023-08-04T18:17:53.356,2023-08-07T12:30:34,"{""id"": 4416315597, ""qualifierId"": 103, ""value"": ""2.5""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.6,2.5,NaN,NaN,92.3,58.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625,0.15565145015716553,0.433,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572982713,545,13,2,48,20,B. Kücükylidiz,bpldj4qdzfdm1n739atcadbmc,1,69.5,50.7,2023-08-04T18:08:54.823,2023-08-07T12:30:37,"{""id"": 4416289739, ""qualifierId"": 18}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0,54.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.0,49.8,NaN,0.018473420292139053,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572985241,589,13,2,53,0,A. Hassan,73zwo9lvgzvri6s5gp34b2hnt,1,96.7,39.0,2023-08-04T18:13:34.972,2023-08-07T12:30:35,"{""id"": 4416301935, ""qualifierId"": 22}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.7,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.4,47.1,NaN,0.05960794538259506,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572988317,644,13,2,58,31,A. Hassan,73zwo9lvgzvri6s5gp34b2hnt,1,78.4,39.2,2023-08-04T18:19:05.652,2023-08-07T12:30:39,"{""id"": 4416318175, ""qualifierId"": 215}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.6,73.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.9,49.6,NaN,0.03517196327447891,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572991869,739,15,2,66,52,M. Due Grandt,2tcdx5rp7vujnlid4oqqxdogk,1,73.6,53.0,2023-08-04T18:27:26.521,2023-08-04T18:28:51,"{""id"": 4423467209, ""qualifierId"": 78}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.2,19,NaN,NaN,79.4,52.2,NaN,NaN,NaN,NaN,NaN,99.4,50.4,629,0.021808788180351257,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572992693,763,13,2,69,1,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,91.5,49.5,2023-08-04T18:29:35.129,2023-08-04T19:12:31,"{""id"": 4416342193, ""qualifierId"": 328}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.8,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.5,50,NaN,0.03933694586157799,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2573004927,835,15,2,92,31,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,79.3,35.5,2023-08-04T18:53:05.755,2023-08-04T18:57:58,"{""id"": 4416423431, ""qualifierId"": 322, ""value"": ""0.0904""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.2,23.4,NaN,NaN,84.3,39.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,997,0.27831798791885376,0.0904,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572995365,852,13,2,74,59,A. Hassan,73zwo9lvgzvri6s5gp34b2hnt,1,72.5,46.4,2023-08-04T18:35:33.623,2023-08-04T18:37:18,"{""id"": 4416356667, ""qualifierId"": 56, ""value"": ""Center""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.8,76.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1,49.5,NaN,0.019468136131763458,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2573014097,884,13,2,89,16,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,68.9,17.3,2023-08-04T18:49:50.920,2023-08-04T19:13:37,"{""id"": 4416464999, ""qualifierId"": 67}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Right,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.4,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.7,41.5,NaN,0.017332851886749268,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572997917,886,13,2,79,58,A. Ahmad,4csz412vb3lquessbnf999ct0,1,77.0,57.5,2023-08-04T18:40:32.831,2023-08-04T18:41:47,"{""id"": 4416371741, ""qualifierId"": 103, ""value"": ""4.2""}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.2,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.9,50.2,NaN,0.035796187818050385,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
